Index,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
145,10,100,0.2,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.8917,8.896224975585938
146,10,50,0.2,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.8924,14.115427017211914
147,20,100,0.2,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9078,21.08224201202393
148,20,50,0.2,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9074,14.529754877090454
149,10,100,0.2,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.932,8.154088973999023
150,10,50,0.2,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.93,6.40277886390686
151,20,100,0.2,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9499,18.5084810256958
152,20,50,0.2,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9407,13.708537101745604
153,10,100,0.2,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.5755,11.489686965942385
154,10,50,0.2,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.4927,7.731173038482666
155,20,100,0.2,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.3974,23.86046385765076
156,20,50,0.2,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.4392,15.764111042022703
157,10,100,0.2,quadratic,one_hot,256,random,ReLu,Sigmoid,0.3056,8.715853214263916
158,10,50,0.2,quadratic,one_hot,256,random,ReLu,Sigmoid,0.1723,7.470800161361694
159,20,100,0.2,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2253,21.12352418899536
160,20,50,0.2,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2039,15.02703619003296
161,10,100,0.2,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,10.9550359249115
162,10,50,0.2,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,7.240585088729858
163,20,100,0.2,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,20.14346289634705
164,20,50,0.2,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,15.30114197731018
