Number,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
115, 20, 50, 0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3433,13.309523105621338
116, 10, 100, 0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,8.469292879104614
117, 10, 50, 0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,7.145709037780762
118, 20, 100, 0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,15.887434959411621
119, 20, 50, 0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,12.117001056671143
120, 10, 100, 0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9325,10.353102922439575
121, 10, 50, 0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9286,7.397310972213745
122, 20, 100, 0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9482,19.96694803237915
123, 20, 50, 0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9454,14.258299827575684
124, 10, 100, 0.2,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9695,8.120848178863525
125, 10, 50, 0.2,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9629,6.492901086807251
126, 20, 100, 0.2,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9738,17.13469099998474
127, 20, 50, 0.2,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9698,12.220625877380371
128, 10, 100, 0.2,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8997,12.654986143112183
129, 10, 50, 0.2,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8741,7.301090717315674
130, 20, 100, 0.2,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.9178,21.434848070144653
131, 20, 50, 0.2,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.9043,14.717257976531982
132, 10, 100, 0.2,cross-entropy,binary,256,random,ReLu,Sigmoid,0.917,8.569209098815918
133, 10, 50, 0.2,cross-entropy,binary,256,random,ReLu,Sigmoid,0.8952,6.396929979324341
134, 20, 100, 0.2,cross-entropy,binary,256,random,ReLu,Sigmoid,0.9304,16.98320984840393
135, 20, 50, 0.2,cross-entropy,binary,256,random,ReLu,Sigmoid,0.9188,12.2344651222229
136, 10, 100, 0.2,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3318,10.028010129928589
137, 10, 50, 0.2,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3304,7.410205125808716
138, 20, 100, 0.2,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3503,495.7335660457611
139, 20, 50, 0.2,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3474,12.577616930007935
140, 10, 100, 0.2,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,7.998040199279785
141, 10, 50, 0.2,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,6.090394973754883
142, 20, 100, 0.2,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,954.0394620895386
143, 20, 50, 0.2,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,10.251353979110718
144, 10, 100, 0.2,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.8917,8.896224975585938
145, 10, 50, 0.2,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.8924,14.115427017211914
146, 20, 100, 0.2,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9078,21.082242012023926
147, 20, 50, 0.2,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9074,14.529754877090454
148, 10, 100, 0.2,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.932,8.154088973999023
149, 10, 50, 0.2,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.93,6.40277886390686
150, 20, 100, 0.2,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9499,18.5084810256958
151, 20, 50, 0.2,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9407,13.708537101745605
152, 10, 100, 0.2,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.5755,11.489686965942383
153, 10, 50, 0.2,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.4927,7.731173038482666
154, 20, 100, 0.2,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.3974,23.860463857650757
155, 20, 50, 0.2,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.4392,15.764111042022705
156, 10, 100, 0.2,quadratic,one_hot,256,random,ReLu,Sigmoid,0.3056,8.715853214263916
157, 10, 50, 0.2,quadratic,one_hot,256,random,ReLu,Sigmoid,0.1723,7.470800161361694
158, 20, 100, 0.2,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2253,21.12352418899536
159, 20, 50, 0.2,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2039,15.027036190032959
160, 10, 100, 0.2,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,10.955035924911499
161, 10, 50, 0.2,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,7.240585088729858
162, 20, 100, 0.2,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,20.143462896347046
163, 20, 50, 0.2,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,15.30114197731018
164, 10, 100, 0.2,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,9.486986875534058
165, 10, 50, 0.2,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,6.917062044143677
166, 20, 100, 0.2,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,22.16319513320923
167, 20, 50, 0.2,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,13.941503286361694
168, 10, 100, 0.2,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.894,11.184720277786255
169, 10, 50, 0.2,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.8919,7.809334993362427
170, 20, 100, 0.2,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.9083,21.948230981826782
171, 20, 50, 0.2,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.9091,16.750931978225708
172, 10, 100, 0.2,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9319,9.395267009735107
173, 10, 50, 0.2,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9307,7.383347034454346
174, 20, 100, 0.2,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9508,21.514765977859497
175, 20, 50, 0.2,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9435,16.70005989074707
176, 10, 100, 0.2,quadratic,binary,256,random,Sigmoid,Sigmoid,0.379,13.652113914489746
177, 10, 50, 0.2,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4245,8.692141056060791
178, 20, 100, 0.2,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4673,21.642985820770264
179, 20, 50, 0.2,quadratic,binary,256,random,Sigmoid,Sigmoid,0.5503,17.139475107192993
180, 10, 100, 0.2,quadratic,binary,256,random,ReLu,Sigmoid,0.181,9.09645700454712
181, 10, 50, 0.2,quadratic,binary,256,random,ReLu,Sigmoid,0.2158,7.589073896408081
182, 20, 100, 0.2,quadratic,binary,256,random,ReLu,Sigmoid,0.3147,18.70645308494568
183, 20, 50, 0.2,quadratic,binary,256,random,ReLu,Sigmoid,0.144,16.642348051071167
184, 10, 100, 0.2,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,10.305125713348389
185, 10, 50, 0.2,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,8.82556676864624
186, 20, 100, 0.2,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,20.390034914016724
187, 20, 50, 0.2,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,17.146878004074097
188, 10, 100, 0.2,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,9.252211332321167
189, 10, 50, 0.2,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,6.653034925460815
190, 20, 100, 0.2,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,17.533023834228516
191, 20, 50, 0.2,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,13.986975908279419
192, 10, 100, 0.1,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.3483,11.43609619140625
193, 10, 50, 0.1,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.2777,7.768718957901001
194, 20, 100, 0.1,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.5527,22.48455786705017
195, 20, 50, 0.1,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.5542,15.09402871131897
196, 10, 100, 0.1,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.657,8.03737998008728
197, 10, 50, 0.1,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.5141,7.004085063934326
198, 20, 100, 0.1,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.7582,15.566765785217285
199, 20, 50, 0.1,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.7287,12.153417825698853
200, 10, 100, 0.1,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1424,10.179342985153198
201, 10, 50, 0.1,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1539,7.562355995178223
202, 20, 100, 0.1,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1835,430.50435090065
